0	2	1
0	4	2
0	6	3
0	8	4
0	10	5
0	12	6
0	13	7
0	15	8
0	17	9
0	19	10
0	21	11
0	23	12
0	24	13
0	26	14
0	27	15
0	29	16
0	30	17
0	32	18
0	33	19
0	34	20
0	36	21
0	37	22
0	38	23
0	40	24
0	41	25
0	43	26
0	44	27
0	46	28
0	47	29
0	49	30
0	51	31
0	53	32
0	54	33
0	56	34
0	58	35
0	59	36
0	61	37
0	63	38
0	64	39
0	66	40
0	67	41
0	69	42
0	71	43
0	72	44
0	74	45
0	75	46
0	77	47
0	79	48
0	80	49
0	82	50
0	83	51
0	84	52
0	86	53
0	88	54
0	90	55
0	91	56
0	93	57
0	94	58
0	96	59
0	98	60
0	100	61
0	101	62
0	103	63
0	105	64
0	106	65
0	108	66
0	110	67
0	112	68
0	114	69
0	115	70
0	117	71
0	118	72
0	120	73
0	122	74
0	123	75
0	125	76
0	126	77
0	128	78
0	129	79
0	131	80
0	133	81
0	134	82
0	136	83
0	137	84
0	139	85
0	140	86
0	142	87
0	144	88
0	145	89
0	147	90
0	148	91
0	150	92
0	152	93
0	154	94
0	156	95
0	157	96
0	159	97
0	161	98
0	163	99
0	165	100
